,organizer,call_duration_mins,participants,interaction
37,Anthony Jones,88,"['Judy Vega MD,Curtis Gallegos,Leslie Jones,Maria Brown,Steven Taylor,Jill Ramirez']",Low
38,Sarah Kim,65,"['Elizabeth Reed,James Campos,Kelsey Arnold']",Low
39,Christine Jensen,123,"['Kyle Elliott,Susan Graves,Amanda Martin,Christina Barrett,Jonathan Morgan,Patricia Foley']",High
40,Jim Perry,149,"['Gail Wilson,Christopher Ramos,Matthew Green']",Low
41,Molly Reynolds,59,"['Sarah Schultz,Christine Hughes,Christopher Cline,Kathryn Moyer,Brandon Allen,Evelyn Hanna']",Medium
42,Stephanie Smith,42,"['Gary Owen,Mr. Jose Johnston,Eric Gonzales,Mr. Matthew Powell,Amanda Russell,Ronald Bell,Stephanie Meyer,Michael Wells,Jack Roy,Jacqueline Morgan']",Low
43,Kara Thompson,115,"['Kimberly Garcia,Ashley Stanley,Kevin Bailey Jr.,Christian Stewart,Rachael Dunn']",Medium
44,Austin Barajas,124,"['Yvonne Chambers,Chase Lewis']",Medium
45,Charles Davis,108,"['Elizabeth Alvarez,Brandy Acosta,Maria Warren,Susan Williams,Charles Roberts,Eric Williams,Lisa Rodriguez,Kimberly Hernandez']",Medium
46,Carl Patel,163,"['Kelly Leonard,Matthew Adams,Matthew Harvey,Kelly Morris,Michelle Wade,Casey Hernandez,Rose Garcia,Kenneth Sharp,Jennifer Moore']",Low
47,Sheila Savage,78,"['Janet Guerra,Abigail Nelson,Mr. Robert Evans,Judy Chandler']",Medium
48,Charles White,39,"['Michael Potter,Mr. Michael Sweeney']",Medium
49,Denise Anderson,118,"['Scott Archer,Jeffrey Miller,Nicholas Snyder,Christopher Olson,Steven Evans,Jennifer Keller,Veronica Hernandez,Christopher Wilson,Matthew Diaz,Jennifer Kirby']",Medium
50,Virginia Jones,160,"['Dr. Jessica Schaefer MD,Jessica Brown,Michael Vincent,Dennis Calderon']",High
51,James Roberts,95,"['Maria Dawson,Mrs. Jennifer Smith MD,Mary Hernandez,Terri Tate,Daniel Hickman,Jason Jones,Ronald Moran,Crystal Wagner,Dr. David Carter Jr.']",Medium
52,Christy Brown,62,"['Kimberly Stephens,Kevin Watkins,Thomas Neal,Gina Elliott,Kristen Duran,Lawrence Ball,Lindsay Martin,Ian Valentine,Gina Powers']",Low
53,Katherine Rhodes,124,"['Wayne Dunn,Elizabeth Wise']",Medium
54,Gary Cohen,161,"['Pamela Evans,Jennifer Graham PhD,Ryan Ware,Timothy Jones,Curtis Villanueva,Lauren Carroll']",Medium
55,William Ray,170,"['Michael Gross,Betty Wiley,Shannon Maynard,William Castro,Teresa Henry,John Juarez,Roger Newton,Brandi Ramos,Bonnie Massey,Monique Brooks']",High
56,April Coffey,118,"['Sara Kennedy,Joseph Ramsey,Erin Atkinson']",High
57,Mrs. Diane Simpson,107,"['Krystal Mitchell,Tiffany Byrd,Ian Sanchez']",High
58,Elizabeth Santana,72,"['Gregory Beck,Sarah Lynn,Thomas Poole,Jacqueline Price,Henry Bennett,Timothy Wallace,Gregory Anderson,Ryan Wiley,Spencer Snyder']",High
59,Linda Martinez,140,"['Christy Cooper,Jesus Osborn,Donald Diaz,Scott Sims']",High
60,Phillip Moreno,57,"['Christina Johnson,David Warren,Curtis Reed,Jeremy Campbell,Robert Tran,William Goodman']",High
61,Kristin Bryan,70,"['Kimberly Garcia,Stephanie Duarte,Jody Cox,Douglas White,Jay Washington,Larry Carrillo,Jeffrey Nielsen']",Low
62,Latasha Smith,110,"['William Hughes,Mr. Clarence Jackson,Michael Woods,Samantha Brown']",Low
63,Phillip Stewart,120,"['Ana White,Rebecca Watts,Billy Jimenez']",High
64,Tammy Moore,22,"['Eric Montgomery,Laura Thomas,Gregory Pacheco,Jessica Perry']",Low
65,Chris Torres,156,"['Joseph Davis,Kelly Ross,Anthony Tyler,Michelle Russell,Maria Gentry,Todd Bishop,Hannah Lawrence']",Medium
66,Karen Carlson,69,"['Jennifer Davis,Cheyenne Watkins,Tara Taylor,Michael Vargas,Christian Jones,Cristian Gaines,Kevin Green,Jason Hale']",Low
67,Richard Reyes,158,"['Daniel Morgan,Amanda Fitzpatrick,Jessica Frank,Tina Miller,Julie Nolan,Melissa Nicholson,Debra Huerta,Amber Craig,Ryan Perez,Derek Conner']",Medium
68,Timothy Obrien,171,"['Stephen Bowers,Chelsea Fischer,Emma Leonard,Kelly Manning,Christina Moore,Allison Williams']",Low
69,Madeline Young,127,"['Gabrielle Everett,Ann Wright,Nicole Garcia']",Medium
70,Alexandria Bartlett,10,"['Nicholas Smith,Cory Jackson,Jo Goodwin,Shirley Miller,Jacob Kane,Adriana Holloway,Kevin Romero']",High
71,Jonathan Hoffman,121,"['Christine Mora,John Dixon,Michelle Hall,Christina Yates,Gina Guerrero,Carol Miller,Karen Preston,Jenna Sutton,Garrett Bennett']",Low
72,Alison Dunn,174,"['Melissa Ward,Stephen Schwartz,Deborah Henderson,Theresa Nixon']",Low
73,Mark Hodges,175,"['Brianna Chandler,Valerie Smith,Kimberly Acevedo,Stephanie Richard,Jonathan Thompson,Michael Martin MD,Cynthia Jones,Laura Walker,Wendy Olson,Stephanie Jones']",High
74,Austin Baker,158,"['Bryce Estrada,Michael Jackson']",High
75,Stephanie Morgan,99,"['Sandra Moran,Adam Martinez,Frank Hernandez']",Low
76,Louis Huerta,25,"['Ana Tyler,Patricia Miller,Gary Flores,Darius Simon,Jennifer Rocha,Elizabeth Graves,Kayla Carter,Brandon Smith,Laura Clark']",Low
77,Jeremy Holt,135,"['Matthew Mendoza,Renee Nash,Jeanette Heath,Dennis Rodriguez,Michael White,Darrell Lowery,Tanya Cooper,Jessica Duke DDS']",Low
78,Dana Griffin,88,"['Earl Cortez,Timothy Mathis,Eric Turner']",Low
79,Cody Mcclure,109,"['Ryan Brewer,Ronald Turner']",Medium
80,Jacob Colon,173,"['Eric Lopez,Leonard Grant,Sheila Ryan,Lori Jones,Vincent Fisher,Lee Daniels,Rachael Johnson DDS']",Low
81,Stephanie Brown,180,"['Todd Robinson,Tracy Cooley,Jesus Dunn,Jason Day,Lisa Young,Melissa May,Donna Weiss,John Bailey,Sandra Carrillo']",Low
82,Jennifer Morgan,173,"['Clinton Harvey,Mr. Chad Ortiz Jr.,Dr. Debra Wilson PhD,Kathy Jones,Cody Gross,Aaron Eaton,Mr. Cody Sims DDS,Andrea Thompson']",Medium
83,Brian Bryant,58,"['John Gray,Tonya Huffman,Robert Elliott,Ryan Davis,Nicole Green,Stephanie Atkinson']",Low
84,Richard James,180,"['Lisa Sparks,Jeffrey Tucker,Ronald Brooks,David Perez,Tabitha Freeman,Melissa Gutierrez']",High
85,Emily Combs,142,"['Jacob Grant,John Johnson,Henry Holmes,Shawn Harris,Ronald Smith']",Low
86,Manuel Sanders,72,"['Mr. Christopher Ashley,Christina Payne']",High
87,Jesse Cook,24,"['Alexander Cowan,Elizabeth Cox,Glen Brown,Virginia Harper,Brad Cole,Todd Hubbard']",Low
88,Joseph Flores,69,"['Lynn Paul,Stephanie Garcia']",High
89,Zachary Anderson,98,"['Jennifer Cooper,Charles Hoover,Alexandra Berry,Rachael Beck']",Low
90,Jose Hill,53,"['Heather Williamson,Crystal Perkins,Brittany Zamora,Christina Beck,Andrew Lewis,Kelly Graham,Linda Morris,Laura Hampton']",High
91,Jason Jones,178,"['Dr. Kathryn Barnett,David White,Scott Gonzalez,Michael Powers,Elizabeth Cochran,Logan Bryant,Jason Williams,Ann Kelley,Kimberly Chavez']",Low
92,Tamara Ward,59,"['Andrew Hernandez,Perry Wilson,Jonathan Armstrong,Michelle Rocha MD,Brenda Lee,Rhonda Ward,Elizabeth Yu,Donna Alvarez,John Smith,Michael Lopez']",Low
93,Darrell Baker,25,"['Christopher Parks,Paul Buchanan,Allen Castro,Rick Cohen']",Medium
94,Ronnie Dodson,19,"['Catherine Boyd,Anthony Fitzgerald']",Medium
95,Javier Dixon,55,"['Yvonne Anderson,Rebecca Lozano,Ashley Pitts,Krystal Underwood,Kimberly Gray,Chloe Davis,Timothy Williams']",High
96,Mario Patterson,158,"['Ashley Brown,Lisa Lopez,Eric Smith']",Medium
97,Todd Williams,79,"['Corey Ellis,Jason Osborne,Kathleen Burnett,Rachel Montgomery,Desiree Gregory']",Medium
98,Seth Williams,146,"['Gina Haynes,Mark Love,Daniel Farmer,Todd Roberts,James Mccoy,Nicholas Martin,Randy Bowman,Diana Crawford,Jason Ryan,Johnny Evans']",High
99,Steven Smith,28,"['Tyrone Roman,Joshua Miller']",Medium
100,Willie Jones,37,"['Sergio Fox,Jennifer Lane,Monique Kelly,Sarah Hall,Vanessa Robinson,Dillon Gonzalez']",High
101,Karen Morgan,128,"['Carol Green,Mr. Jonathan Martinez,Michael Stevens,Damon Jones,Jimmy Rhodes,Brittany Nguyen,Charles Kennedy,Debra Jones,Samantha Gray']",Low
102,Tara Hood,152,"['Michelle Nguyen,Brandy Gray']",Low
103,Caitlin Wilkins,169,"['Marcus Black,Martha Lawrence,Matthew Ewing,Timothy Anderson']",Low
104,Jesse Harris,12,"['Mary Ortiz,Mary Crawford,Karen Wilson,Alejandra Gardner,Kimberly Benson,Brian Turner']",High
105,Douglas Perkins,18,"['Christian Durham,Oscar Hammond,Scott Clark,Carol Sanchez,Thomas Hull,Jamie Neal,Susan Wilkins,Julie Carr,James Mcdaniel']",Low
106,Christina Wong,111,"['Kristen Alexander,Nathan Harrison,Randy Smith,Michelle Watson']",Medium
107,Rebecca Newton,16,"['Shannon Simmons,Wendy Galloway,Heather Chan,James Cardenas,Emily Horton,Margaret Atkins']",High
108,Brian Crosby,151,"['Christopher Burton,Michael Johnson,Lori Brown,Brian Hicks,Lisa Duncan,Ann Moore,James Burns']",Low
109,Joseph Hernandez,114,"['Charles Webb,Thomas Blair,Heather Tucker,Thomas Dean,Juan Vazquez,Michael Wells,Dawn Fuentes']",Low
110,Nicholas Simmons,77,"['Steven Walker,Charles Miranda']",Medium
111,Johnny Benitez,56,"['Walter Carter,Alexis Curtis']",Medium
112,Rita Franklin,148,"['Jason Stewart,Christina Jefferson,Christy Rivera,Stanley Rocha,Jennifer King']",High
113,Austin Montes Jr.,45,"['Summer Davis,Abigail Parks,Tracy Williams,Manuel Scott,Benjamin Hampton,Danny Mueller']",Low
114,Kristin Zuniga,47,"['Aaron Sims,Sarah Davis,Seth Hernandez,Lauren Stone,Jason Barnes,Sergio Coleman']",Low
115,Amy West,45,"['Cynthia Jones,Rachel Williams,Lee Kirby,Roberta Moore,Megan Paul,Kevin Soto,Christie Lewis,Patrick Martin,Denise Valencia']",Low
116,Dawn Jones,125,"['Kelsey Miller,Jessica Howell']",Low
117,David Jennings,142,"['Dennis Hill,Robert Colon,Steven Mcdaniel,Lindsey Holder']",Medium
118,Brittany Hinton,152,"['Melissa Keller,Monica Carroll,Hector Hernandez,Deborah Henderson,Stephanie Glass,Hector West,Daniel Thomas,Lisa Wade,Amy Mcdonald,Fred Garcia']",Low
119,Robert Sanders,115,"['David Johns,Tina Mclaughlin,Edward Smith,Brandon Vazquez,Alison Figueroa']",Medium
120,Amy Franco,150,"['Miguel Zimmerman,Joshua Sweeney,Samantha Moreno,Anthony Brewer,Aaron Robinson,Devin Butler,Lucas Warren']",Medium
121,Dr. Jeanne Clay MD,91,"['Stephanie Taylor,Elizabeth Cannon,Carol Horton,Jamie Carter,Paula Wilson,Tammy Montoya,Diana Cox,Jason Little,Andrew Garcia,Randy Young']",Low
122,Jeffrey Anderson,68,"['Christopher Solomon,Cory Stevens,Hunter Phelps,Jim Tucker']",Low
123,Wendy Franco,110,"['Melissa Morris,Michael Miranda,Richard Floyd,Mckenzie Johnson']",High
124,Regina Jackson,39,"['Scott Mccullough,Evelyn Proctor,Katie Hernandez,Laura Chan,Katelyn Jackson,Thomas Lucas,Carlos Brown']",Low
125,Heather Brown,51,"['Mrs. Emily Sandoval,Julie King,Katrina Fields,Lindsey Bailey,Dillon Chapman,Mark Young,Daniel Smith']",Low
126,Stephanie Browning,59,"['Dylan Foster,Dale Anderson,Mr. Larry Brennan']",Low
127,Michael Harrell,22,"['April Brown,Nicole Rogers,Julie Daniels,Patricia Flores,John Conley,Jared Garcia,Cody Contreras,Jackson Salinas,Danielle Spencer']",High
128,Virginia Walker,60,"['Margaret Jenkins,Stephanie Johnson,Glen Snyder,Jacob Anderson,David Molina']",High
129,Phillip Odonnell DVM,169,"['Edward Brown,Melissa Lewis,Catherine Alvarado,Thomas James']",Medium
130,Jerome Mason,145,"['Jacob Bell,Eric Mclaughlin,Keith Wilkinson,Christine Hayes,Jon Roach']",Medium
131,Alan Snyder,151,"['Christina Price,Robert Jackson,Albert Mclean,Eric Miller,Lori Barton,Heather Gibson,Matthew Lewis']",Medium
132,Melissa Taylor,98,"['Daniel Quinn,Amy Cooper,Stacy Jones']",Low
133,Brittany Hawkins,58,"['Emma Robinson,Mark Bartlett,Michelle Woods,Allen Mendoza,Michael Welch']",Low
134,Cody Townsend,87,"['Larry Quinn,Steven Peck,Charles Smith,Michael Goodwin,Alexis Garcia,Sheena Powell,Gary Reeves']",Low
135,Michael Wilson,64,"['Eric Smith,Carrie Skinner']",Medium
136,Joy Smith,175,"['Haley Fleming,Monica Mcbride,Sara Gibson,Cindy Rose,Gregory Hernandez,Kristina Moore,Patricia Adams,Justin French,Valerie Garner']",Medium
137,David Warner,43,"['David Hernandez,Christine Lewis,Caitlyn Vega,Laura Guzman,Ronnie Curtis,Luis Brown,Matthew Kidd,Michelle Peck,Tara Cobb']",High
138,Christopher Arias,67,"['Sara Beck,Regina Hall,Daniel Mcgrath,Gerald Collins,Charles Myers']",Medium
139,Brian Carr,142,"['Douglas Roberson,Morgan Johnson,Joseph Hernandez,Shelby Pena']",Low
140,George Robinson,81,"['Derek Schmidt,Richard Barnes,Paul Barnes']",Low
141,Sarah Roberson,36,"['Shawn Ramirez,Jonathan Bray,Matthew Hughes,Ellen Sanders']",Low
142,Todd Russell,124,"['Timothy Baker,Howard Aguilar,Todd Nguyen,Gregory Marquez,Caitlin Johnson,Andrew Allen,Gary Crawford,Lisa Meyer,Jorge Benton,William Johnson']",Medium
143,Elizabeth Grant,49,"['Kyle Dean,Todd Nelson,Mary Miranda,Gina Mcgee,David Edwards,Denise Sanchez,Anthony Schmidt,John Smith']",Medium
144,Steven Irwin,54,"['Shelby Nunez,Benjamin Hill,Angela Armstrong,Breanna Obrien,Cody Smith,Angel Johnson']",Low
145,Clinton Wolf,22,"['Jonathan Miller,Hannah Ramirez,Nicolas Fitzgerald,Julia Esparza']",High
146,Jamie Simpson,80,"['Nicole Rose,Linda Contreras,Thomas King,Lisa Park,Danny Mendoza,Eric Stewart,Robert Vang,Stephanie Marshall,Monica Davis']",Low
147,Shannon Ryan,20,"['Martha Obrien,Cynthia Alvarez,Sarah Hickman,Jeff Williams,Karen Gordon,Andrew Jacobson,Brenda Blair DDS']",High
148,Becky Smith,17,"['Anthony Knight,Samantha Torres,Curtis Nguyen,Whitney Gonzales,Lucas Smith,Hunter Stuart,David Hernandez']",High
149,Ashley Schwartz,176,"['Julia Harris,Mark Hicks,Erica Robinson,John Morris Jr.,Robin Reyes,Robert Patterson,Valerie Mann,Elizabeth Strong,Anthony Lewis']",Low
150,Kim Hurley,112,"['Lisa Martinez,Amanda Garner,Jennifer Andrews,John West,Daryl Kramer,Matthew Graham,Miranda Melton']",Low
151,Alexander Ruiz,173,"['Victor Hall,Victoria Sanchez,Alisha Smith']",High
152,Jennifer Perez,105,"['Marie Hall,Johnathan Mendez,Shawn Frye,Maria Barr,Jimmy Mason,Robert Johnson']",Medium
153,Felicia Melton,53,"['Ian Combs,Elizabeth Savage']",Low
154,Todd Phelps,62,"['Kyle Hall,Sherry Castro,Timothy Kidd,Richard Howard']",Medium
155,William Thornton,58,"['Rebecca Thompson,Karen Holt,Mr. Glenn Carrillo,Miguel Callahan,Heidi Orozco']",Low
156,Nicole Henry,127,"['Nicholas May,Cynthia Murphy,Kelly Ware,Ashley Randolph,Jessica Brown,Evan Mack,Michelle Conner,Meredith Wright']",High
157,Dalton Robinson,170,"['Joseph Long,Abigail Johnson,Tamara Davis,Kathleen Proctor,Tanner Flores,Sharon Anthony,Mrs. Cindy Hanson MD,Joshua Burke']",High
158,Michelle Davis,43,"['Renee Leon,Jamie Norman,Meagan Rosario,David Garner']",Low
159,Jordan Kim,99,"['Joshua Baker,John Rangel,Daniel Watson,Pamela Jones,Micheal Perez']",Medium
160,David Gregory,99,"['Christine Baker,Aaron Davis,Lisa Parker,Cheryl Burns']",Medium
161,Stephen Weiss,54,"['Nicholas Sweeney,William Walton,David Krueger,Christopher Lindsey']",Medium
162,Kelly Mcintosh,74,"['Preston James,Joseph Simpson,Melissa Aguilar,Noah Vasquez']",High
163,Garrett Brown,71,"['Leslie King,Joseph Moore,Ariana Pierce,Melissa Lopez,Shannon Baker,Kathy Walters,Tracy Miller']",Medium
164,Pam Leon,31,"['Eric Hood,Rachel Shields,Robert Nguyen']",Low
165,Bryan Welch,23,"['David Neal,Michael Wood,Mark Lopez,Megan Mcknight,Lisa Forbes,Jacob Taylor,Christopher Gordon MD,Kelsey Jones,Haley Clayton,William Davis']",Low
166,Kirk Griffith,100,"['William Thompson,Bianca Schneider,John Valenzuela,James Schmidt,Kimberly Gordon,Nancy Adams,Michael Adams']",High
167,Catherine Meyer,175,"['Rose Kennedy,Ashley Zavala,Sabrina Randall,Joshua Curtis,Jordan Snyder']",Medium
168,Ian Greene,133,"['Benjamin Vance,Heidi Osborne,Timothy Jackson,Julie Miller,Bonnie Perkins PhD,Christopher Lambert,Amy King,Bailey Abbott']",Low
169,Kelly Warner,71,"['Jennifer Jackson DVM,Anne Daniel']",Medium
170,David Blair,54,"['Rachel Howard,Steven Cherry,Gregory Garcia,Sarah Sellers,Jennifer Turner']",Medium
171,Dr. Jill White,68,"['Lisa Brock,Heather Davis,Benjamin Rodriguez MD,Megan Crawford']",Medium
172,Alexa Russo,134,"['Cody Perez,Kelly Schneider,Brandon Thompson,Kimberly Flores,Heather Miller,Margaret Weber,Fred Barajas,Dylan Howard,Randall Ortiz']",Low
173,Paul Brown,49,"['Steven Barton,Jessica Payne']",High
174,Austin Walls,134,"['Debra Fox,Kevin Elliott,Jasmine Oneal,Heidi Lewis,Kevin Russell,Jeffrey Spencer']",Low
175,Thomas Smith,21,"['Christian Barrett,Christopher Smith,Bruce Foster,Amanda Shaw,Emily Boyer,John Conrad,Jesse Adams,Danielle Collins,Brittany Anderson,Maria Morris']",High
176,James Charles,120,"['Jonathan Owens,Dawn Brown,Gregory Reynolds,Jonathan Wright,Michael Keller,Rebecca Sosa,Leslie Giles,Danielle Franco,Mercedes Miller,Erika Jimenez']",Low
177,Phillip Morales,59,"['Jennifer Moore,Susan Gomez,Shannon Dixon,William Mckee,Joseph Miller,Amanda James,Sue Dean,Nancy Smith']",Medium
178,Derek Hancock,56,"['Paige Ryan,Nathan Aguilar,Sharon Smith,Tiffany Spencer,Bradley Mora,Henry Smith,Julia Griffith,Jeremy Hernandez,Erica Brown']",High
179,Douglas Cooley,121,"['Michelle Hill,Kevin Ross,Adrian Snyder,Mark Avery,David Le,Susan Schultz']",Low
180,Gabriela Jordan,117,"['Connie Banks,Darren Olson,Richard Daniels,Michael Francis']",High
181,Evan Hebert,117,"['Emily Campbell,Paula Alexander,Courtney Sullivan,Crystal Harris']",Medium
182,George Barnes,39,"['Andre Doyle,Jillian Lester,Paul Young']",High
183,Jason Rodriguez,56,"['Teresa Adams,Lisa Logan,Ashley Bates,Chad Foster,Brian Page,Ryan Rodriguez,Karen Wagner,Joshua Kim DVM,Amber Willis,Kathryn Fernandez']",Low
184,Amber Miller,139,"['Jeffrey Michael,George Stark,Cassandra Hanson,Dana Stout']",Medium
185,Randy Roy,46,"['Heidi Webb,Phillip Jordan,Dana Contreras,Ashley Harmon,William Hoffman,Renee Ford,Joshua Richardson,Jose Hicks,Christian Nichols']",High
186,Sierra Drake,138,"['Hailey Larson,Maria Lyons MD,Jennifer Kramer MD,Shawn Curtis,Julie Calderon,David Wright,Nicholas Baker,Marcus Diaz']",High
187,Paul Williamson,163,"['Brianna Arellano,Kristy Chase,Anthony Davis,Patricia Bowers,Dr. Kelsey Hughes,Anna Thomas,Hannah Saunders,Jason Cunningham']",Medium
188,Alan Green,102,"['Regina Orozco,Mark Flores,Jessica Morrow,Kevin Cabrera,Eric Lewis,Jennifer Cohen']",Low
189,Brittany Roberts,94,"['Roberto Rice,Derek Luna,James Stark,Philip Warren,Michelle Sawyer']",High
190,Kristen Valdez,146,"['Samuel Lee,Monica Hancock,Amanda Mcfarland,Charles Carroll,Patricia Johnson,Thomas Kline,Patrick Davies,David Johnson,Catherine Bell,Laura Baldwin']",Medium
191,Nathan Bradshaw,168,"['Scott Washington,Christian Wheeler,Nicole Zimmerman']",High
192,Dr. John Rivera,131,"['Marie Gibson,Jeremy Anderson,William Boyd,William Mitchell,Kathy Weaver,John Rivera,Kenneth Lamb,Angela Blackburn,Melissa Matthews,James Nelson']",Medium
193,Bryan Smith,49,"['Angel Dodson,Clinton Beasley,Julie Elliott,Nancy Munoz,Robert Hill,Diane Holmes,Randy Johnson Jr.']",High
194,Shane Wright,45,"['Patricia Marquez,Max Patel,Brandon Gilbert,Lawrence Quinn,Michael Christensen,Katie Wallace,Theresa Brooks']",Low
195,Jennifer Medina,123,"['Andres Schneider,John Myers,Rebecca Becker,Darlene Glass,Marie Herring']",Medium
196,Corey Foley,36,"['Vanessa Tucker,Cody Hinton']",High
197,John Wu,117,"['Dalton Mcfarland,Cheryl Villegas,Donna Prince,Melissa Snyder,Lindsey Miller,Dr. Linda Johnson,Paul Oconnor,Shelley Clark']",Medium
198,Michelle Buckley,153,"['Gilbert Gonzales,Shannon Moran,Brandi King,Daniel Harris,Charles Smith,Johnny Todd,Ricky Powell,William Chambers,Tracey Morrison']",Low
199,Nicole Baldwin,159,"['Angela Bailey,Christina Williams,Christian Stewart,Patricia Reyes,Mindy Owen,Danielle Santos,Vicki Levine,William Garcia,Joshua Burns,Darren Reynolds']",Medium
200,Kimberly Caldwell,112,"['Christopher Murray,Cesar Ramirez,Tina Bennett,Michael Lamb,James Serrano,Lisa Wolfe,Mrs. Monica Hebert']",High
201,Dakota Reyes,133,"['Kimberly Contreras,Richard Morris,Derrick Murphy,Mr. Jeremy White,Yvette Phillips,Nicholas Newman,Joseph Rodriguez,Heather Arias']",Low
202,David Price,157,"['Nicholas Kelly,Mary Combs,Joshua Moss,Haley Jackson,Sara Ward,Carl Navarro,Christian Johnson,Anthony Bridges']",High
