,organizer,call_duration_mins,participants,indiv_interaction_mins,interaction,meeting_modes,meeting_types,host_locations,recorded_session
36,Aruna Prakash,74,"{'Aruna Prakash', 'Avinash Raj,Prasanna Raj,Prasanna Prakash,Prasanna Ravindranath,Divya Prakash,Divya Ravindranath,Prasanna Prasad,Vaishali Prakash,Divya Prasad,Surya Ravindranath'}",[10 64  0],Low,online,trainings,Romania,no
37,Surya Prakash,78,"{'Surya Prakash', 'Surya Prasad,Vaishali Prakash,Divya Raj,Aruna Raj'}",[13 15 50],Medium,online,trainings,Romania,yes
38,Vaishali Raj,161,"{'Vaishali Raj,Surya Prakash,Aruna Prasad,Divya Raj,Vaishali Prasad,Divya Ravindranath,Harini Prasad,Surya Raj,Divya Prakash,Vaishali Prasad', 'Vaishali Raj'}",[88 66  7],High,online,project_discussion,India,yes
39,Vaishali Prakash,74,"{'Vaishali Prakash', 'Avinash Prasad,Harini Prakash,Avinash Prakash,Aruna Prasad,Prasanna Ravindranath,Surya Prasad,Divya Prasad,Avinash Prasad,Prasanna Raj,Surya Prasad'}",[23  7 44],High,in_office,trainings,France,no
40,Surya Raj,139,"{'Avinash Prasad,Avinash Prasad', 'Surya Raj'}",[23 82 34],High,hybrid,others,India,no
41,Vaishali Raj,38,"{'Vaishali Raj', 'Harini Prasad,Aruna Ravindranath,Prasanna Prasad,Harini Prakash,Surya Ravindranath,Harini Raj,Harini Raj'}",[ 3  6 29],Low,in_office,others,Remote,yes
42,Divya Raj,120,"{'Vaishali Raj,Vaishali Raj,Vaishali Ravindranath,Divya Prasad,Avinash Raj,Aruna Prasad,Surya Raj,Vaishali Prasad', 'Divya Raj'}",[10 57 53],High,online,trainings,France,no
43,Aruna Raj,116,"{'Aruna Raj', 'Avinash Prasad,Harini Ravindranath,Divya Ravindranath,Avinash Raj,Surya Ravindranath,Prasanna Prasad'}",[15 41 60],Medium,in_office,employee_engagement,Remote,yes
44,Divya Prasad,99,"{'Divya Prasad', 'Harini Raj,Divya Raj,Surya Raj,Aruna Prakash,Surya Ravindranath,Prasanna Prasad,Aruna Prasad,Vaishali Prakash'}",[32 59  8],High,hybrid,project_discussion,Remote,yes
45,Prasanna Prakash,108,"{'Divya Raj,Prasanna Prasad,Vaishali Prasad,Surya Prakash,Aruna Prakash,Avinash Ravindranath,Avinash Prakash,Vaishali Prakash,Surya Prasad,Prasanna Ravindranath', 'Prasanna Prakash'}",[39 10 59],Low,hybrid,trainings,Romania,yes
46,Avinash Raj,131,"{'Avinash Raj', 'Divya Prakash,Aruna Raj'}",[48 42 41],Low,in_office,others,Romania,no
47,Aruna Prasad,119,"{'Divya Prakash,Vaishali Prakash,Divya Prasad,Vaishali Raj,Aruna Prakash,Surya Prasad,Aruna Raj', 'Aruna Prasad'}",[21 53 45],High,hybrid,trainings,India,no
48,Vaishali Prakash,16,"{'Vaishali Prakash', 'Aruna Prakash,Surya Raj,Harini Raj'}",[10  6  0],High,hybrid,trainings,Remote,yes
49,Aruna Ravindranath,6,"{'Harini Prasad,Vaishali Prakash,Avinash Ravindranath,Vaishali Prakash,Avinash Prasad,Surya Prasad', 'Aruna Ravindranath'}",[5 0 1],Medium,online,employee_engagement,Romania,yes
50,Aruna Raj,174,"{'Aruna Raj', 'Prasanna Prakash,Vaishali Raj,Vaishali Raj,Vaishali Prasad,Surya Prakash'}",[  7 167   0],Medium,in_office,trainings,Remote,yes
51,Aruna Prakash,56,"{'Divya Prakash,Divya Ravindranath,Prasanna Raj,Harini Raj,Aruna Prasad,Divya Prasad,Harini Ravindranath', 'Aruna Prakash'}",[22 11 23],Medium,in_office,others,France,yes
52,Prasanna Prakash,91,"{'Aruna Ravindranath,Vaishali Prasad,Vaishali Prasad,Prasanna Prasad,Harini Ravindranath,Prasanna Ravindranath,Harini Prasad,Prasanna Raj,Surya Prakash,Surya Prakash', 'Prasanna Prakash'}",[ 1 42 48],Low,hybrid,project_discussion,India,no
53,Aruna Ravindranath,179,"{'Aruna Ravindranath', 'Harini Ravindranath,Surya Raj,Vaishali Ravindranath,Vaishali Prakash,Divya Raj,Divya Prakash,Aruna Raj'}",[120  15  44],Low,online,others,France,no
54,Harini Ravindranath,145,"{'Harini Ravindranath', 'Avinash Prasad,Harini Raj,Avinash Prakash,Avinash Ravindranath,Prasanna Raj,Prasanna Raj,Harini Prakash'}",[  1  10 134],High,hybrid,project_discussion,Romania,yes
55,Avinash Prakash,134,"{'Divya Ravindranath,Harini Ravindranath,Surya Prasad,Avinash Raj,Divya Raj,Divya Prakash', 'Avinash Prakash'}",[35 90  9],High,in_office,trainings,Romania,yes
56,Harini Raj,41,"{'Harini Raj', 'Surya Prasad,Harini Prakash,Avinash Prasad,Harini Raj,Divya Prasad,Aruna Prakash,Aruna Prakash'}",[17 12 12],Low,hybrid,project_discussion,Romania,yes
57,Harini Raj,175,"{'Prasanna Ravindranath,Avinash Raj', 'Harini Raj'}",[ 11  35 129],Low,online,trainings,France,no
58,Prasanna Raj,167,"{'Vaishali Prasad,Vaishali Raj,Divya Prasad,Vaishali Prakash,Divya Prasad,Harini Prasad,Divya Raj,Prasanna Ravindranath,Prasanna Prasad,Vaishali Prakash', 'Prasanna Raj'}",[ 34   4 129],Medium,hybrid,employee_engagement,Romania,no
59,Avinash Raj,167,"{'Avinash Raj', 'Divya Prasad,Aruna Prasad,Avinash Prakash,Aruna Ravindranath,Prasanna Prakash,Prasanna Ravindranath'}",[ 31 117  19],Low,online,others,Romania,no
60,Aruna Prasad,157,"{'Divya Raj,Prasanna Prasad,Surya Prasad,Avinash Raj,Divya Prasad,Vaishali Prakash,Harini Prasad', 'Aruna Prasad'}",[53 75 29],Low,in_office,others,Remote,no
61,Vaishali Raj,137,"{'Surya Raj,Surya Raj,Aruna Raj,Vaishali Raj,Avinash Ravindranath,Vaishali Prakash,Avinash Prasad,Harini Prakash,Harini Prakash', 'Vaishali Raj'}",[84 20 33],High,online,trainings,Romania,no
62,Avinash Prakash,143,"{'Vaishali Raj,Avinash Prakash,Avinash Prakash,Avinash Ravindranath,Surya Prakash,Harini Prasad,Avinash Prakash,Harini Prakash,Divya Raj', 'Avinash Prakash'}",[10 64 69],Medium,in_office,employee_engagement,Romania,no
63,Avinash Ravindranath,130,"{'Harini Ravindranath,Surya Ravindranath,Avinash Prakash,Vaishali Prakash,Divya Prakash,Vaishali Prakash,Aruna Prasad,Avinash Prakash', 'Avinash Ravindranath'}",[  0 110  20],High,hybrid,employee_engagement,India,no
64,Prasanna Raj,168,"{'Prasanna Ravindranath,Avinash Raj,Divya Prasad', 'Prasanna Raj'}",[59 76 33],High,online,trainings,Remote,yes
65,Aruna Raj,107,"{'Aruna Raj', 'Aruna Raj,Harini Raj,Divya Prakash,Aruna Prakash'}",[ 7 73 27],High,in_office,others,France,yes
66,Aruna Prasad,168,"{'Prasanna Prasad,Divya Ravindranath,Aruna Raj,Avinash Ravindranath,Divya Ravindranath,Prasanna Prakash,Vaishali Prasad,Avinash Prakash,Prasanna Prakash', 'Aruna Prasad'}",[144   0  24],Medium,online,project_discussion,India,no
67,Harini Prasad,48,"{'Harini Prasad', 'Surya Raj,Divya Raj,Surya Ravindranath,Divya Prasad'}",[20 12 16],Low,hybrid,others,Romania,yes
68,Prasanna Raj,170,"{'Divya Raj,Avinash Ravindranath,Surya Prasad,Prasanna Prasad,Harini Ravindranath,Vaishali Prakash,Aruna Raj,Prasanna Prasad', 'Prasanna Raj'}",[81 73 16],High,in_office,project_discussion,India,yes
69,Divya Prakash,52,"{'Divya Prakash', 'Prasanna Raj,Aruna Ravindranath,Divya Ravindranath,Avinash Ravindranath,Divya Prasad'}",[ 7 33 12],Low,in_office,others,India,yes
70,Aruna Raj,74,"{'Aruna Raj', 'Surya Ravindranath,Divya Raj,Vaishali Ravindranath,Surya Prakash,Avinash Ravindranath'}",[57  7 10],High,in_office,others,Remote,no
71,Prasanna Raj,29,"{'Prasanna Raj', 'Divya Raj,Prasanna Prasad,Vaishali Prakash,Aruna Prakash,Harini Raj,Divya Prakash,Aruna Raj,Surya Ravindranath'}",[ 1 16 12],Medium,hybrid,trainings,Remote,yes
72,Vaishali Ravindranath,152,"{'Vaishali Ravindranath', 'Surya Ravindranath,Vaishali Prakash,Surya Raj,Harini Prasad,Surya Raj,Divya Raj,Avinash Prakash,Divya Prakash,Divya Prasad'}",[109  11  32],Low,in_office,trainings,France,no
73,Divya Ravindranath,126,"{'Divya Ravindranath', 'Harini Raj,Divya Raj,Prasanna Ravindranath,Prasanna Prasad,Harini Raj,Harini Raj,Prasanna Prakash'}",[ 4 53 69],High,hybrid,project_discussion,France,no
74,Prasanna Raj,94,"{'Surya Raj,Aruna Prakash', 'Prasanna Raj'}",[15  2 77],High,online,trainings,India,no
75,Divya Prasad,174,"{'Divya Prasad', 'Aruna Prakash,Prasanna Ravindranath,Harini Prakash,Harini Prasad'}",[102  33  39],Low,online,others,Remote,yes
76,Divya Ravindranath,107,"{'Divya Ravindranath', 'Vaishali Prasad,Divya Prasad,Surya Ravindranath,Surya Raj,Prasanna Ravindranath,Harini Ravindranath,Divya Prasad,Aruna Raj,Prasanna Ravindranath'}",[ 6 29 72],Medium,online,trainings,India,no
77,Harini Prasad,38,"{'Divya Ravindranath,Harini Prasad,Aruna Prasad,Prasanna Prakash,Divya Raj', 'Harini Prasad'}",[ 2 31  5],Medium,hybrid,project_discussion,France,no
78,Vaishali Ravindranath,9,"{'Vaishali Ravindranath', 'Prasanna Prakash,Harini Raj,Avinash Raj,Divya Raj,Prasanna Raj,Surya Prasad,Aruna Ravindranath,Aruna Prasad,Prasanna Ravindranath'}",[0 8 1],High,hybrid,others,Romania,no
79,Aruna Raj,109,"{'Aruna Raj', 'Harini Raj,Divya Prakash'}",[ 9 91  9],Low,online,trainings,Romania,no
80,Divya Ravindranath,142,"{'Divya Ravindranath', 'Vaishali Prakash,Harini Raj,Divya Ravindranath,Aruna Prasad,Harini Ravindranath,Prasanna Prasad,Vaishali Prasad,Prasanna Ravindranath,Prasanna Raj,Harini Ravindranath'}",[31 16 95],High,hybrid,others,France,no
81,Aruna Raj,162,"{'Aruna Raj', 'Aruna Prakash,Harini Prakash'}",[73 76 13],Medium,online,others,France,no
82,Vaishali Ravindranath,79,"{'Prasanna Prasad,Vaishali Prasad,Harini Raj,Harini Prasad,Prasanna Ravindranath,Divya Raj,Avinash Ravindranath,Prasanna Ravindranath,Vaishali Raj,Prasanna Prakash', 'Vaishali Ravindranath'}",[18 51 10],Medium,hybrid,trainings,France,no
83,Harini Ravindranath,98,"{'Harini Ravindranath', 'Avinash Raj,Aruna Ravindranath,Divya Ravindranath,Surya Prasad,Prasanna Raj,Surya Prakash,Prasanna Prasad,Avinash Raj,Surya Prasad,Divya Prakash'}",[26  2 70],Low,hybrid,project_discussion,Remote,no
84,Aruna Ravindranath,113,"{'Vaishali Prasad,Divya Ravindranath,Prasanna Prasad,Harini Raj,Harini Prakash,Harini Ravindranath', 'Aruna Ravindranath'}",[67 38  8],Medium,hybrid,project_discussion,Remote,no
85,Aruna Raj,69,"{'Avinash Prasad,Prasanna Prasad,Surya Prasad', 'Aruna Raj'}",[24 15 30],Low,online,project_discussion,Romania,yes
86,Prasanna Ravindranath,158,"{'Harini Prasad,Vaishali Ravindranath,Avinash Prakash,Aruna Ravindranath,Prasanna Ravindranath', 'Prasanna Ravindranath'}",[  7 106  45],Medium,hybrid,trainings,France,no
87,Prasanna Ravindranath,128,"{'Aruna Ravindranath,Vaishali Ravindranath,Aruna Ravindranath,Avinash Prasad,Divya Prakash,Vaishali Prakash,Avinash Raj,Surya Raj,Harini Prakash', 'Prasanna Ravindranath'}",[67 10 51],High,in_office,employee_engagement,Romania,yes
88,Divya Prasad,97,"{'Avinash Prakash,Prasanna Prakash,Vaishali Ravindranath,Vaishali Prakash,Aruna Prakash,Aruna Prakash,Surya Ravindranath', 'Divya Prasad'}",[35  4 58],Low,online,project_discussion,Romania,no
89,Avinash Ravindranath,14,"{'Avinash Ravindranath', 'Divya Prakash,Vaishali Prakash,Surya Prakash,Aruna Prakash,Surya Prakash,Surya Prakash'}",[6 5 3],Medium,in_office,others,France,yes
90,Prasanna Prasad,52,"{'Prasanna Prasad', 'Surya Prasad,Vaishali Prasad,Vaishali Raj,Harini Ravindranath,Prasanna Prasad,Divya Ravindranath,Vaishali Prasad,Harini Prasad,Vaishali Prakash,Divya Prakash'}",[36 11  5],Medium,online,others,Romania,no
91,Aruna Raj,7,"{'Aruna Raj', 'Harini Prasad,Avinash Prasad,Aruna Prasad,Vaishali Ravindranath,Surya Ravindranath,Aruna Prakash,Surya Ravindranath,Vaishali Raj'}",[3 0 4],High,hybrid,trainings,France,yes
92,Avinash Prasad,66,"{'Harini Prakash,Avinash Prakash,Prasanna Prasad,Aruna Raj,Avinash Raj,Divya Prasad', 'Avinash Prasad'}",[47  0 19],Low,hybrid,others,Remote,no
93,Aruna Prasad,155,"{'Avinash Prasad,Aruna Raj,Vaishali Raj,Prasanna Prakash,Avinash Prasad,Aruna Ravindranath,Aruna Raj,Vaishali Ravindranath', 'Aruna Prasad'}",[64 65 26],Low,online,employee_engagement,France,yes
94,Aruna Raj,172,"{'Aruna Raj', 'Vaishali Prasad,Aruna Prakash,Prasanna Prakash,Surya Prakash,Vaishali Prasad,Aruna Ravindranath,Avinash Prakash,Divya Prasad,Harini Prasad'}",[78 65 29],Low,in_office,trainings,Remote,yes
95,Vaishali Raj,168,"{'Avinash Raj,Avinash Prakash,Vaishali Prakash,Avinash Prakash,Surya Raj,Harini Prakash,Aruna Raj,Prasanna Prasad,Surya Prakash', 'Vaishali Raj'}",[72 95  1],Low,in_office,others,France,yes
96,Surya Prakash,158,"{'Avinash Raj,Avinash Prakash,Aruna Prasad,Aruna Ravindranath,Surya Raj,Aruna Raj,Surya Ravindranath,Prasanna Raj,Divya Prasad,Prasanna Raj', 'Surya Prakash'}",[ 18  15 125],Medium,hybrid,project_discussion,France,yes
97,Divya Ravindranath,117,"{'Divya Ravindranath', 'Aruna Prakash,Surya Prakash,Aruna Ravindranath,Divya Ravindranath,Harini Ravindranath,Surya Prakash,Aruna Prasad'}",[52  0 65],Medium,online,project_discussion,India,no
98,Prasanna Raj,74,"{'Prasanna Raj', 'Harini Prakash,Aruna Prasad,Vaishali Prasad,Avinash Prasad,Prasanna Ravindranath,Avinash Prakash'}",[ 8 64  2],Low,in_office,project_discussion,Romania,no
99,Harini Raj,33,"{'Prasanna Ravindranath,Surya Ravindranath', 'Harini Raj'}",[ 6 26  1],Low,in_office,trainings,Remote,yes
100,Divya Prakash,132,"{'Divya Prakash', 'Vaishali Raj,Surya Prakash,Prasanna Ravindranath'}",[65 54 13],Medium,hybrid,trainings,Romania,yes
101,Harini Prakash,131,"{'Prasanna Ravindranath,Divya Prasad,Prasanna Prasad,Surya Raj', 'Harini Prakash'}",[75 45 11],Low,in_office,others,Romania,yes
102,Surya Ravindranath,122,"{'Prasanna Prakash,Avinash Prakash,Prasanna Raj,Avinash Raj,Prasanna Prakash,Harini Prasad,Vaishali Raj,Surya Raj,Prasanna Prasad,Surya Prasad', 'Surya Ravindranath'}",[18 29 75],Medium,online,project_discussion,France,yes
103,Prasanna Ravindranath,136,"{'Aruna Prasad,Harini Ravindranath,Prasanna Ravindranath,Aruna Raj', 'Prasanna Ravindranath'}",[15 40 81],High,online,others,Remote,yes
104,Vaishali Prakash,20,"{'Vaishali Prakash', 'Divya Raj,Divya Ravindranath'}",[ 6  4 10],Low,in_office,project_discussion,Remote,no
105,Vaishali Prasad,147,"{'Vaishali Prasad', 'Prasanna Ravindranath,Aruna Raj,Prasanna Prasad,Surya Prasad,Aruna Ravindranath'}",[22 94 31],Low,hybrid,others,Remote,no
106,Surya Prasad,131,"{'Harini Prasad,Vaishali Prasad,Surya Prasad,Prasanna Prasad,Harini Prakash,Harini Ravindranath,Vaishali Prasad,Divya Prakash,Aruna Prakash,Divya Prasad', 'Surya Prasad'}",[87  6 38],High,online,trainings,India,no
107,Surya Prakash,156,"{'Surya Prakash', 'Divya Prakash,Prasanna Prakash,Avinash Prakash'}",[99 53  4],Low,online,project_discussion,Romania,yes
108,Vaishali Prasad,101,"{'Vaishali Prasad', 'Aruna Ravindranath,Aruna Prasad,Harini Prakash,Surya Prakash,Harini Prasad,Surya Prasad,Harini Ravindranath'}",[27  6 68],Medium,online,others,France,yes
109,Aruna Ravindranath,36,"{'Harini Prasad,Divya Ravindranath,Surya Ravindranath,Aruna Ravindranath', 'Aruna Ravindranath'}",[ 0 18 18],Low,online,employee_engagement,India,no
110,Prasanna Prasad,136,"{'Prasanna Prasad', 'Avinash Raj,Aruna Prasad,Avinash Prasad,Harini Raj,Prasanna Prakash'}",[  3 123  10],Low,hybrid,others,India,yes
111,Avinash Raj,9,"{'Aruna Prakash,Divya Raj,Harini Ravindranath,Surya Ravindranath,Vaishali Prakash', 'Avinash Raj'}",[6 3 0],Medium,hybrid,trainings,India,no
112,Surya Ravindranath,128,"{'Harini Prasad,Vaishali Raj,Vaishali Prakash,Prasanna Prakash,Prasanna Prakash,Avinash Raj,Divya Prakash,Aruna Prasad,Harini Prasad', 'Surya Ravindranath'}",[21 28 79],High,in_office,others,India,no
113,Surya Raj,130,"{'Harini Prasad,Prasanna Raj', 'Surya Raj'}",[63 38 29],Medium,online,employee_engagement,India,yes
114,Avinash Prasad,99,"{'Avinash Prasad', 'Surya Ravindranath,Divya Prakash,Surya Raj,Prasanna Prakash,Aruna Prakash,Surya Raj'}",[25 73  1],High,hybrid,project_discussion,Romania,yes
115,Surya Ravindranath,60,"{'Surya Ravindranath', 'Harini Raj,Harini Prasad'}",[23 16 21],Medium,hybrid,trainings,Romania,no
116,Divya Raj,138,"{'Prasanna Prasad,Surya Ravindranath,Prasanna Prakash,Aruna Ravindranath,Avinash Prakash,Aruna Prakash,Divya Raj,Aruna Prakash,Aruna Ravindranath', 'Divya Raj'}",[73 57  8],Low,in_office,employee_engagement,France,no
117,Prasanna Ravindranath,38,"{'Divya Prasad,Prasanna Prasad,Avinash Prasad', 'Prasanna Ravindranath'}",[36  0  2],Medium,in_office,employee_engagement,Remote,no
118,Aruna Ravindranath,9,"{'Avinash Prasad,Aruna Ravindranath,Prasanna Raj,Vaishali Prakash,Aruna Raj,Avinash Ravindranath,Vaishali Prasad,Aruna Raj,Avinash Ravindranath,Divya Raj', 'Aruna Ravindranath'}",[3 3 3],Medium,in_office,trainings,Remote,yes
119,Vaishali Raj,6,"{'Vaishali Prasad,Avinash Prakash,Vaishali Prakash,Divya Ravindranath,Prasanna Prakash,Prasanna Prakash,Vaishali Raj,Avinash Prasad,Harini Raj,Vaishali Ravindranath', 'Vaishali Raj'}",[2 4 0],Low,hybrid,trainings,France,yes
120,Vaishali Prasad,48,"{'Vaishali Prasad', 'Aruna Prasad,Avinash Raj,Surya Prasad,Avinash Prakash,Harini Ravindranath,Aruna Prasad,Vaishali Prakash'}",[16 21 11],High,in_office,project_discussion,France,yes
121,Prasanna Prakash,90,"{'Divya Prasad,Avinash Prakash,Divya Raj,Vaishali Ravindranath,Vaishali Raj', 'Prasanna Prakash'}",[53  1 36],High,online,employee_engagement,India,yes
122,Prasanna Prakash,38,"{'Aruna Prakash,Surya Ravindranath,Vaishali Prasad,Harini Prasad,Divya Ravindranath,Prasanna Ravindranath', 'Prasanna Prakash'}",[20 18  0],High,in_office,others,France,yes
123,Surya Raj,81,"{'Avinash Ravindranath,Divya Prasad,Vaishali Ravindranath,Divya Ravindranath,Prasanna Ravindranath,Vaishali Prakash', 'Surya Raj'}",[34 40  7],High,hybrid,project_discussion,Remote,no
